Customer ID,avg_gap_days,max_gap_days,std_gap_days,snapshot_date
12346,8.222222222222221,38.0,12.497777580211789,2010-05-31
12349,18.0,18.0,,2010-05-31
12355,,,,2010-05-31
12358,,,,2010-05-31
12359,35.333333333333336,81.0,39.576929306520654,2010-05-31
12360,45.5,61.0,21.920310216782973,2010-05-31
12361,103.0,103.0,,2010-05-31
12362,,,,2010-05-31
12366,,,,2010-05-31
12368,,,,2010-05-31
12369,,,,2010-05-31
12370,22.0,44.0,31.11269837220809,2010-05-31
12371,0.0,0.0,,2010-05-31
12373,49.0,49.0,,2010-05-31
12374,,,,2010-05-31
12377,,,,2010-05-31
12378,,,,2010-05-31
12380,8.0,16.0,11.313708498984761,2010-05-31
12388,,,,2010-05-31
12389,88.0,88.0,,2010-05-31
12391,21.666666666666668,58.0,31.659648345067467,2010-05-31
12392,,,,2010-05-31
12395,,,,2010-05-31
12396,,,,2010-05-31
12399,,,,2010-05-31
12402,69.0,69.0,,2010-05-31
12404,,,,2010-05-31
12406,101.0,101.0,,2010-05-31
12409,,,,2010-05-31
12416,,,,2010-05-31
12417,28.5,56.0,21.31509637166422,2010-05-31
12418,53.0,53.0,,2010-05-31
12422,25.666666666666668,57.0,24.254209256676802,2010-05-31
12426,,,,2010-05-31
12431,32.25,78.0,37.579914848227105,2010-05-31
12435,100.0,100.0,,2010-05-31
12437,18.714285714285715,47.0,15.787276371752514,2010-05-31
12439,43.0,43.0,,2010-05-31
12440,,,,2010-05-31
12443,,,,2010-05-31
12455,71.5,94.0,31.81980515339464,2010-05-31
12459,,,,2010-05-31
12466,,,,2010-05-31
12468,72.0,72.0,,2010-05-31
12470,,,,2010-05-31
12471,7.045454545454546,20.0,7.961079567419727,2010-05-31
12472,21.333333333333332,55.0,17.258814173246858,2010-05-31
12474,36.0,63.0,38.18376618407357,2010-05-31
12477,,,,2010-05-31
12481,0.0,0.0,,2010-05-31
12482,2.642857142857143,42.0,8.841041859646472,2010-05-31
12483,20.0,38.0,15.641824275533422,2010-05-31
12484,15.5,30.0,20.506096654409877,2010-05-31
12487,,,,2010-05-31
12490,25.833333333333332,61.0,27.47665675926871,2010-05-31
12494,,,,2010-05-31
12495,,,,2010-05-31
12496,0.0,0.0,,2010-05-31
12497,,,,2010-05-31
12499,,,,2010-05-31
12500,12.6,25.0,11.781341180018511,2010-05-31
12503,,,,2010-05-31
12504,,,,2010-05-31
12507,,,,2010-05-31
12510,21.8,50.0,20.825465180878915,2010-05-31
12514,,,,2010-05-31
12516,,,,2010-05-31
12523,36.75,63.0,28.146935890075138,2010-05-31
12524,21.5,27.0,7.7781745930520225,2010-05-31
12525,,,,2010-05-31
12530,44.0,44.0,,2010-05-31
12531,,,,2010-05-31
12533,110.0,110.0,,2010-05-31
12539,0.0,0.0,,2010-05-31
12540,16.88888888888889,33.0,11.623730516108463,2010-05-31
12542,,,,2010-05-31
12549,24.0,104.0,45.09434554353794,2010-05-31
12555,,,,2010-05-31
12557,,,,2010-05-31
12567,83.0,83.0,,2010-05-31
12568,,,,2010-05-31
12570,,,,2010-05-31
12577,,,,2010-05-31
12580,,,,2010-05-31
12582,,,,2010-05-31
12583,41.0,80.0,27.58018612458347,2010-05-31
12586,,,,2010-05-31
12588,,,,2010-05-31
12589,,,,2010-05-31
12594,,,,2010-05-31
12598,2.0,2.0,,2010-05-31
12599,,,,2010-05-31
12600,30.4,81.0,29.56856438855292,2010-05-31
12606,,,,2010-05-31
12609,78.5,101.0,31.81980515339464,2010-05-31
12613,116.0,116.0,,2010-05-31
12615,,,,2010-05-31
12619,,,,2010-05-31
12621,34.333333333333336,49.0,16.165807537309522,2010-05-31
12623,48.5,49.0,0.7071067811865476,2010-05-31
12625,,,,2010-05-31
12631,47.5,95.0,67.17514421272202,2010-05-31
12632,,,,2010-05-31
12636,,,,2010-05-31
12638,,,,2010-05-31
12639,,,,2010-05-31
12643,51.0,51.0,,2010-05-31
12644,24.0,24.0,,2010-05-31
12645,21.0,21.0,,2010-05-31
12647,10.909090909090908,22.0,7.091608357129509,2010-05-31
12648,60.0,60.0,,2010-05-31
12649,55.5,109.0,75.66042558696059,2010-05-31
12656,,,,2010-05-31
12662,23.0,31.0,11.313708498984761,2010-05-31
12663,43.0,43.0,,2010-05-31
12664,,,,2010-05-31
12665,,,,2010-05-31
12668,26.75,72.0,34.052655305178966,2010-05-31
12670,,,,2010-05-31
12671,,,,2010-05-31
12672,,,,2010-05-31
12675,,,,2010-05-31
12677,,,,2010-05-31
12678,59.0,118.0,83.43860018001261,2010-05-31
12681,15.9,25.0,6.6072350915913045,2010-05-31
12682,16.77777777777778,35.0,8.870988921447509,2010-05-31
12683,49.666666666666664,92.0,42.500980380849256,2010-05-31
12692,,,,2010-05-31
12695,75.0,75.0,,2010-05-31
12698,,,,2010-05-31
12701,,,,2010-05-31
12703,25.0,49.0,33.94112549695428,2010-05-31
12708,33.0,36.0,3.16227766016838,2010-05-31
12709,15.88888888888889,49.0,19.744900888865235,2010-05-31
12711,65.0,65.0,,2010-05-31
12712,53.666666666666664,80.0,28.148416178061126,2010-05-31
12714,47.666666666666664,65.0,15.534906930308058,2010-05-31
12717,,,,2010-05-31
12725,13.0,13.0,,2010-05-31
12726,,,,2010-05-31
12727,,,,2010-05-31
